propositions,clauses,result,DPLL calls,L/N ratio,solve time
36,108,True,141,3.0,0.04468083381652832
37,111,True,39,3.0,0.013989448547363281
38,114,True,37,3.0,0.023274898529052734
39,117,True,60,3.0,0.028827190399169922
40,120,True,103,3.0,0.055999040603637695
41,123,True,55,3.0,0.017184019088745117
42,126,True,70,3.0,0.02991652488708496
43,129,True,42,3.0,0.019983768463134766
44,132,True,38,3.0,0.03269839286804199
45,135,True,41,3.0,0.03346109390258789
46,138,True,45,3.0,0.030358076095581055
47,141,True,56,3.0,0.03332376480102539
48,144,True,61,3.0,0.04038834571838379
49,147,True,235,3.0,0.16792678833007812
50,150,True,46,3.0,0.06170344352722168
51,153,True,62,3.0,0.033910512924194336
52,156,True,64,3.0,0.04386711120605469
53,169,True,470,3.2,0.5525226593017578
54,172,True,50,3.2,0.03870511054992676
55,176,True,59,3.2,0.03130912780761719
56,179,True,835,3.2,0.6091101169586182
57,182,True,80,3.2,0.07978630065917969
58,185,True,53,3.2,0.051888227462768555
59,188,True,112,3.2,0.08163142204284668
60,192,True,99,3.2,0.07812142372131348
61,195,True,122,3.2,0.08946633338928223
62,198,True,199,3.2,0.12042713165283203
63,201,True,207,3.2,0.15864968299865723
64,204,True,79,3.2,0.06326436996459961
65,208,True,1020,3.2,0.7326838970184326
66,211,True,75,3.2,0.04685854911804199
67,214,True,62,3.2,0.3910362720489502
68,217,True,204,3.2,0.13157415390014648
69,220,True,180,3.2,0.10883164405822754
70,224,True,68,3.2,0.06314420700073242
71,227,True,537,3.2,0.49738025665283203
72,230,True,870,3.2,0.7401502132415771
73,233,True,77,3.2,0.07607436180114746
74,236,True,90,3.2,0.07692623138427734
75,240,True,99,3.2,0.0961599349975586
76,243,True,427,3.2,0.575019359588623
77,246,True,101,3.2,0.10393309593200684
78,249,True,1031,3.2,0.7819807529449463
79,252,True,80,3.2,0.07413983345031738
80,256,True,4826,3.2,4.694494962692261
81,259,True,108,3.2,0.10281538963317871
82,262,True,75,3.2,0.0940847396850586
83,265,True,89,3.2,0.17008137702941895
84,268,True,1352,3.2,1.2943651676177979
85,272,True,838,3.2,1.1496484279632568
86,275,True,149,3.2,0.1430988311767578
87,278,True,301,3.2,0.25316786766052246
88,281,True,94,3.2,0.09677791595458984
89,284,True,2037,3.2,2.1788103580474854
90,288,True,10491,3.2,10.705787658691406
91,291,True,1061,3.2,0.7444357872009277
92,294,True,148,3.2,0.13140201568603516
93,297,True,861,3.2,0.9281651973724365
94,300,True,1769,3.2,1.1589946746826172
50,150,True,47,3.0,0.0372011661529541
51,153,True,48,3.0,0.042944908142089844
52,156,True,646,3.0,0.42324328422546387
53,159,True,73,3.0,0.06121206283569336
54,162,True,882,3.0,0.42530322074890137
55,165,True,60,3.0,0.06341743469238281
56,168,True,93,3.0,0.06944632530212402
57,171,True,690,3.0,0.39887070655822754
58,174,True,85,3.0,0.0431065559387207
59,177,True,122,3.0,0.08004355430603027
60,180,True,60,3.0,0.033270835876464844
61,183,True,523,3.0,0.8246939182281494
62,186,True,1962,3.0,1.4590258598327637
63,189,True,102,3.0,0.052079200744628906
64,192,True,63,3.0,0.05169963836669922
65,195,True,75,3.0,0.05437040328979492
66,198,True,261,3.0,0.2320384979248047
67,201,True,61,3.0,0.0741274356842041
68,204,True,75,3.0,0.09517550468444824
69,207,True,77,3.0,0.08373069763183594
70,210,True,844,3.0,0.6966662406921387
71,213,True,114,3.0,0.08002161979675293
72,216,True,114,3.0,0.0864555835723877
73,219,True,98,3.0,0.06926894187927246
74,222,True,67,3.0,0.054941415786743164
75,225,True,74,3.0,0.06083083152770996
76,228,True,2861,3.0,2.127206325531006
77,231,True,327,3.0,0.2221827507019043
78,234,True,105,3.0,0.07835555076599121
79,237,True,87,3.0,0.10715556144714355
80,240,True,100,3.0,0.08397436141967773
81,243,True,245,3.0,0.14608049392700195
82,246,True,2066,3.0,1.8807621002197266
83,249,True,73,3.0,0.052874088287353516
84,252,True,79,3.0,0.07051944732666016
85,255,True,80,3.0,0.0823967456817627
86,258,True,106,3.0,0.10179305076599121
87,261,True,694,3.0,0.44701242446899414
88,264,True,105,3.0,0.09986686706542969
89,267,True,106,3.0,0.2842850685119629
90,270,True,85,3.0,0.08223414421081543
91,273,True,930,3.0,0.6528980731964111
92,276,True,91,3.0,0.10583257675170898
93,297,True,200,3.2,0.17365431785583496
94,300,True,90,3.2,0.09237170219421387
